MDLYR_DT,GBE_INDX_NUM,OV_ID,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,TRNS
2009,5,JM8B0U16A1,N,140,,M5
2009,5,JM8B0U16A1,N,140,,M5
2009,6,JM8B0U96A1,N,140,,M5
2009,6,JM8B0U96A1,N,140,,M5
2009,7,JM9E7U29A2,N,173,,L4
2009,7,JM9E7U29A2,N,173,,L4
2009,8,JM9E7U69A2,N,173,,L4
2009,8,JM9E7U69A2,N,173,,L4
2009,10,BH9L8U71B2,N,290,,L6
2009,10,BH9L8U71B2,N,290,,L6
2009,11,HD7B0U49A1,N,132,,L4
2009,11,HD7B0U49A1,N,132,,L4
2009,11,HD8B0F59A1,N,138,,L4
2009,11,HD8B0F59A1,N,138,,L4
2009,11,HD8B0F60A1,N,138,,M5
2009,11,HD8B0F60A1,N,138,,M5
2009,12,FD8B0F25A1,N,138,,L4
2009,12,FD8B0F25A1,N,138,,L4
2009,12,FD8B0F20A1,N,138,,M5
2009,12,FD8B0F20A1,N,138,,M5
2009,13,EN7L8U27A2,N,260,,L6
2009,13,EN7L8U27A2,N,260,,L6
2009,13,EN7L8U39A2,N,260,,L6
2009,13,EN7L8U39A2,N,260,,L6
2009,14,CM8V7U35A,N,185,,L4
2009,14,CM8V7U35A,N,185,,L4
2009,14,CM8V7U32A,N,185,,M5
2009,14,CM8V7U32A,N,185,,M5
2009,14,CM8V7U41A,N,185,,L4
2009,14,CM8V7U41A,N,185,,L4
2009,14,CM8V7U30A,N,185,,M5
2009,14,CM8V7U30A,N,185,,M5
2009,15,CM7V3U11S2-1,N,242,,L5
2009,15,CM7V3U11S2-1,N,242,,L5
2009,15,CM7V3U11S2,N,242,,L5
2009,15,CM7V3U11S2,N,242,,L5
2009,16,BH8T6U15B,N,375,,L6
2009,16,BH8T6U15B,N,375,,L6
2009,16,BH8T6U19B,N,375,,L6
2009,16,BH8T6U19B,N,375,,L6
2009,17,MC8D6U01A1,N,110,,L4
2009,17,MC8D6U01A1,N,110,,L4
2009,17,MC8D6U02A1,N,110,,M5
2009,17,MC8D6U02A1,N,110,,M5
2009,30,WU1P0176,N,300,,L6
2009,30,WU1P0176,N,300,,L6
2009,30,WU1P0176,N,300,,L6
2009,30,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,31,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,36,WU1P0176,N,300,,L6
2009,50,WU1P0177,N,400,,L6
2009,50,WU1P0177,N,400,,L6
2009,50,WU1P0177,N,400,,L6
2009,50,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,51,WU1P0177,N,400,,L6
2009,303,TWCP1028,N,300,,L6
2009,303,TWCP1028,N,300,,L6
2009,304,TW1PP035,N,420,,L6
2009,304,TW1PP035,N,420,,L6
2009,309,PAC1PP03,N,300,,L6
2009,309,PAC1PP03,N,300,,L6
2009,310,PGC1PP05,N,420,,L6
2009,310,PGC1PP05,N,420,,L6
2009,1,MG8F4U05A1,N,175,,L5
2009,1,MG8F4U05A1,N,175,,L5
2009,1,MG8F4U06A1,N,175,,M5
2009,1,MG8F4U06A1,N,175,,M5
2009,2,KM8B0U21A1,N,140,,L4
2009,2,KM8B0U21A1,N,140,,L4
2009,2,KM8B0U14A1,N,140,,M5
2009,2,KM8B0U14A1,N,140,,M5
2009,2,KM8B0U94A1,N,140,,M5
2009,2,KM8B0U94A1,N,140,,M5
2009,3,KM9E7U27A2,N,173,,L4
2009,3,KM9E7U27A2,N,173,,L4
2009,3,KM9E7U09A2,N,173,,L4
2009,3,KM9E7U09A2,N,173,,L4
2009,4,GH7L8U31A,N,264,,L5
2009,4,GH7L8U31A,N,264,,L5
2009,5,VQ06EM-38V-2,N,250,,L5
2009,5,VQ06EM-38V-2,N,250,,L5
2009,6,VQ06EM-38V-2,N,250,,L5
2009,6,VQ06EM-38V-2,N,250,,L5
2009,7,BL7L3U21A2,N,245,,L5
2009,7,BL7L3U21A2,N,245,,L5
2009,7,BL7L3U27A2,N,245,,L5
2009,7,BL7L3U27A2,N,245,,L5
2009,8,BL7L8U39A,N,262,,L5
2009,8,BL7L8U39A,N,262,,L5
2009,8,BL7L8U41A,N,262,,L5
2009,8,BL7L8U41A,N,262,,L5
2009,9,LD7B0U27A1,N,132,,L4
2009,9,LD7B0U27A1,N,132,,L4
2009,9,LD7B0U93A1,N,132,,L4
2009,9,LD7B0U93A1,N,132,,L4
2009,9,LD8B0F01A1,N,138,,L4
2009,9,LD8B0F01A1,N,138,,L4
2009,9,LD8B0F91A1,N,138,,L4
2009,9,LD8B0F91A1,N,138,,L4
2009,9,LD8B0F91A1,N,138,,L4
2009,9,LD8B0F04A1,N,138,,M5
2009,9,LD8B0F04A1,N,138,,M5
2009,9,LD8B0F94A1,N,138,,M5
